species,origin,redlist
Nepeta nuda,native,C2b
Nepeta nuda subsp. nuda,native,C2b
Nepeta racemosa,neo,NA
Neslia paniculata,arch,NA
Neslia paniculata subsp. paniculata,arch,NA
Nicandra physalodes,neo,NA
Nicotiana alata,neo,NA
Nicotiana rustica,neo,NA
Nicotiana tabacum,neo,NA
Nigella arvensis,arch,C1t
Nigella damascena,neo,NA
Nigella sativa,NA,NA
Noccaea caerulescens,native,NA
Noccaea caerulescens subsp. caerulescens,native,NA
Noccaea kovatsii,neo,NA
Noccaea montana,native,C3
Nonea lutea,neo,NA
Nonea pulla,native,C4a
Nonea rosea,neo,NA
Notholaena marantae,native,C1r
Nuphar x spenneriana,native,NA
Nuphar lutea,native,C4a
Nuphar pumila,native,C1t
Nymphaea x borealis,native,NA
Nymphaea alba,native,C1t
Nymphaea candida,native,C1b
Nymphaea cv. div.,neo,NA
Nymphoides peltata,native,C1t
Ocimum basilicum,arch,NA
Odontites luteus,native,C2b
Odontites vernus,native,NA
Odontites vernus subsp. serotinus,native,NA
Odontites vernus subsp. vernus,native,C2t
Oenanthe aquatica,native,NA
Oenanthe fistulosa,native,A1
Oenanthe silaifolia,native,A1
Oenanthe silaifolia subsp. silaifolia,native,A1
Oenothera acutifolia,neo,NA
Oenothera albipercurva,neo,NA
Oenothera ammophila,neo,NA
Oenothera biennis,neo,NA
Oenothera biennis agg.,neo,NA
Oenothera canovirens,neo,NA
Oenothera coronifera,neo,NA
Oenothera depressa,neo,NA
Oenothera fallax,neo,NA
Oenothera flava,neo,NA
Oenothera flava subsp. taraxacoides,neo,NA
Oenothera glazioviana,neo,NA
Oenothera hoelscheri,neo,NA
Oenothera issleri,neo,NA
Oenothera macrocarpa,neo,NA
Oenothera moravica,neo,NA
Oenothera oakesiana,neo,NA
Oenothera parviflora,neo,NA
Oenothera punctulata,neo,NA
Oenothera pycnocarpa,neo,NA
Oenothera rosea,NA,NA
Oenothera rubricaulis,neo,NA
Oenothera stricta,neo,NA
Oenothera subterminalis,neo,NA
Oenothera tetragona,neo,NA
Oenothera victorinii,neo,NA
Omphalodes scorpioides,native,C4a
Omphalodes verna,neo,NA
Onobrychis arenaria,native,C4b
Onobrychis arenaria subsp. arenaria,native,C4b
Onobrychis viciifolia,neo,NA
Onobrychis viciifolia agg.,native,NA
Ononis x pseudohircina,native,NA
Ononis arvensis,native,C3
Ononis repens,native,C3
Ononis repens x  O. spinosa,NA,NA
Ononis spinosa,native,NA
Ononis spinosa subsp. spinosa,native,NA
Onopordum x beckianum,NA,NA
Onopordum acanthium,arch,NA
Onosma arenaria,native,C1t
Ophioglossum vulgatum,native,C2b
Ophrys apifera,native,C1r
Ophrys holoserica,native,C1b
Ophrys holoserica subsp. holubyana,native,C1b
Ophrys insectifera,native,C1b
Ophrys sphegodes,native,NA
Opuntia phaeacantha,neo,NA
Opuntia polyacantha,neo,NA
Orchis x hybrida,native,NA
Orchis x loreziana,native,NA
Orchis x loreziana nothosubsp. kisslingii,native,NA
Orchis mascula,native,C2t
Orchis mascula subsp. mascula,native,C1b
Orchis mascula subsp. speciosa,native,C2t
Orchis militaris,native,C2b
Orchis pallens,native,C2b
Orchis purpurea,native,C2b
Oreojuncus trifidus,native,C2b
Oreopteris limbosperma,native,NA
Origanum majorana,arch,NA
Origanum vulgare,native,NA
Origanum vulgare subsp. megastachyum,native,C4b
Origanum vulgare subsp. vulgare,native,NA
Orlaya grandiflora,native,C2r
Ornithogalum x wildtii,native,NA
Ornithogalum angustifolium,native,C3
Ornithogalum boucheanum,native,C2b
Ornithogalum brevistylum,native,C2r
Ornithogalum kochii,native,NA
Ornithogalum nutans,NA,NA
Ornithogalum nutans agg.,native,NA
Ornithogalum pyrenaicum,native,C1t
Ornithogalum pyrenaicum subsp. sphaerocarpum,native,C1t
Ornithogalum umbellatum,NA,A2
Ornithogalum umbellatum agg.,native,NA
Ornithopus compressus,neo,NA
Ornithopus perpusillus,native,C1r
Ornithopus sativus,neo,NA
Ornithopus sativus subsp. sativus,neo,NA
Orobanche alba,native,C3
Orobanche alba subsp. alba,native,C3
Orobanche alba subsp. major,native,C2r
Orobanche alsatica,native,C2b
Orobanche artemisiae-campestris,native,C1b
Orobanche caryophyllacea,native,C3
Orobanche coerulescens,native,C1b
Orobanche crenata,neo,NA
Orobanche elatior,native,C1t
Orobanche flava,native,C3
Orobanche gracilis,neo,NA
Orobanche hederae,neo,NA
Orobanche kochii,native,C3
Orobanche lucorum,neo,NA
Orobanche lutea,native,C3
Orobanche minor,neo,NA
Orobanche picridis,native,C2b
Orobanche reticulata,native,C1b
Orobanche teucrii,native,C1r
Orthilia secunda,native,C3
Orthilia secunda subsp. secunda,native,C3
Oryza sativa,NA,NA
Osmunda regalis,native,C1r
Ostrya carpinifolia,NA,NA
Othocallis amoena,neo,NA
Othocallis mischtschenkoana,NA,NA
Othocallis siberica,neo,NA
Oxalis acetosella,native,NA
Oxalis corniculata,neo,NA
Oxalis corniculata var. corniculata,neo,NA
Oxalis corniculata var. repens,neo,NA
Oxalis debilis,neo,NA
Oxalis dillenii,neo,NA
Oxalis exilis,NA,NA
Oxalis latifolia,neo,NA
Oxalis pes-caprae,neo,NA
Oxalis stricta,neo,NA
Oxybaphus nyctagineus,neo,NA
Oxytropis pilosa,native,C3
Pachysandra terminalis,NA,NA
Paeonia lactiflora,neo,NA
Paeonia officinalis,NA,NA
Paeonia suffruticosa,NA,NA
Panicum capillare,neo,NA
Panicum capillare subsp. barbipulvinatum,neo,NA
Panicum capillare subsp. capillare,neo,NA
Panicum dichotomiflorum,neo,NA
Panicum miliaceum,arch,NA
Panicum miliaceum subsp. agricola,neo,NA
Panicum miliaceum subsp. miliaceum,arch,NA
Panicum miliaceum subsp. ruderale,neo,NA
Panicum philadelphicum,neo,NA
Panicum philadelphicum subsp. gattingeri,neo,NA
Panicum schinzii,neo,NA
Panicum virgatum,neo,NA
Papaver x intercedens,native,NA
Papaver argemone,arch,C4a
Papaver atlanticum,neo,NA
Papaver atlanticum subsp. mesatlanticum,neo,NA
Papaver bracteatum,NA,NA
Papaver confine,native,C3
Papaver croceum,neo,NA
Papaver dubium,arch,NA
Papaver dubium agg.,native,NA
Papaver hybridum,neo,NA
Papaver lecoqii,arch,C1t
Papaver maculosum,native,C2b
Papaver maculosum subsp. austromoravicum,native,C2b
Papaver maculosum subsp. maculosum,native,A3
Papaver orientale,NA,NA
Papaver pseudo-orientale,neo,NA
Papaver rhoeas,arch,NA
Papaver rhoeas var. rhoeas,arch,NA
Papaver rhoeas var. strigosum,arch,NA
Papaver somniferum,arch,NA
Parapholis incurva,neo,NA
Parentucellia viscosa,neo,NA
Parietaria judaica,neo,NA
Parietaria officinalis,NA,C2r
Parietaria pensylvanica,neo,NA
Paris quadrifolia,native,NA
Parnassia palustris,native,C2t
Parthenocissus inserta,neo,NA
Parthenocissus quinquefolia,neo,NA
Parthenocissus quinquefolia agg.,neo,NA
Parthenocissus tricuspidata,neo,NA
Pastinaca sativa,native,NA
Pastinaca sativa subsp. sativa,native,NA
Pastinaca sativa subsp. urens,arch,C3
Paulownia tomentosa,neo,NA
Pedicularis exaltata,native,C1r
Pedicularis palustris,native,C1t
Pedicularis palustris subsp. opsiantha,native,C1r
Pedicularis palustris subsp. palustris,native,C1t
Pedicularis sceptrum-carolinum,native,A1
Pedicularis sudetica,native,C1r
Pedicularis sudetica subsp. sudetica,native,C1r
Pedicularis sylvatica,native,C2t
Pedicularis sylvatica subsp. sylvatica,native,C2t
Peltaria alliacea,neo,NA
Pennisetum alopecuroides,neo,NA
Pentaglottis sempervirens,neo,NA
Peplis portula,native,NA
Perovskia ʻBlue Spire’,neo,NA
Persicaria x brauniana,native,NA
Persicaria x condensata,native,NA
Persicaria x figertii,native,NA
Persicaria x hybrida,native,NA
Persicaria x intercedens,native,NA
Persicaria x subglandulosa,native,NA
Persicaria amphibia,native,NA
Persicaria capitata,neo,NA
Persicaria hydropiper,native,NA
Persicaria lapathifolia,native,NA
Persicaria lapathifolia subsp. brittingeri,native,NA
Persicaria lapathifolia subsp. lapathifolia,native,NA
Persicaria lapathifolia subsp. lapathifolia x  P. mitis,NA,NA
Persicaria lapathifolia subsp. pallida,native,NA
Persicaria maculosa,native,NA
Persicaria minor,native,NA
Persicaria mitis,native,NA
Persicaria orientalis,neo,NA
Persicaria pensylvanica,neo,NA
Petasites x celakovskyi,native,NA
Petasites x intercedens,native,NA
Petasites x rechingeri,native,NA
Petasites albus,native,NA
Petasites hybridus,native,NA
Petasites hybridus subsp. hybridus,native,NA
Petasites japonicus,neo,NA
Petasites japonicus subsp. giganteus,neo,NA
Petasites kablikianus,native,C4a
Petrorhagia dubia,neo,NA
Petrorhagia prolifera,native,C4a
Petrorhagia saxifraga,neo,A3
Petroselinum crispum,arch,NA
Petunia x atkinsiana,neo,NA
Peucedanum alsaticum,native,C3
Peucedanum altissimum,neo,NA
Peucedanum arenarium,native,A1
Peucedanum arenarium subsp. arenarium,native,A1
Peucedanum austriacum,neo,C4b
Peucedanum austriacum subsp. austriacum,neo,NA
Peucedanum austriacum subsp. rablense,neo,NA
Peucedanum carvifolia,native,C1r
Peucedanum cervaria,native,C4a
Peucedanum oreoselinum,native,C4a
Peucedanum ostruthium,NA,NA
Peucedanum palustre,native,NA
Phacelia campanularia,neo,NA
Phacelia ciliata,neo,NA
Phacelia congesta,neo,NA
Phacelia tanacetifolia,neo,NA
Phalaris arundinacea,native,NA
Phalaris arundinacea ‘Picta’,neo,NA
Phalaris brachystachys,neo,NA
Phalaris canariensis,neo,NA
Phalaris coerulescens,neo,NA
Phalaris minor,neo,NA
Phalaris paradoxa,neo,NA
Phaseolus coccineus,neo,NA
Phaseolus vulgaris,neo,NA
Phegopteris connectilis,native,NA
Phelipanche arenaria,native,C2b
Phelipanche bohemica,native,C1r
Phelipanche caesia,native,C1r
Phelipanche nana,neo,NA
Phelipanche purpurea,native,C1b
Phelipanche purpurea s. l.,native,C1r
Phelipanche ramosa,NA,NA
Phellodendron amurense,NA,NA
Philadelphus coronarius,neo,NA
Philadelphus pubescens,NA,NA
Phleum alpinum,native,C3
Phleum exaratum,neo,NA
Phleum nodosum,native,NA
Phleum paniculatum,neo,NA
Phleum phleoides,native,NA
Phleum pratense,native,NA
Phleum pratense agg.,native,NA
Phleum subulatum,neo,NA
Phlomis russeliana,neo,NA
Phlomis tuberosa,native,C2b
Phlox drummondii,neo,NA
Phlox paniculata,neo,NA
Phlox subulata,neo,NA
Phragmites australis,native,NA
Physalis alkekengi,arch,NA
Physalis alkekengi var. alkekengi,arch,NA
Physalis alkekengi var. franchetii,neo,NA
Physalis angulata,neo,NA
Physalis peruviana,neo,NA
Physalis philadelphica,neo,NA
Physalis pubescens,neo,NA
Physocarpus opulifolius,neo,NA
Phyteuma x adulterinum,native,NA
Phyteuma nigrum,native,C3
Phyteuma orbiculare,native,C2t
Phyteuma spicatum,native,NA
Phytolacca acinosa,neo,NA
Phytolacca americana,neo,NA
Picea abies,native,NA
Picea engelmannii,NA,NA
Picea glauca,NA,NA
Picea mariana,NA,NA
Picea omorika,NA,NA
Picea orientalis,NA,NA
Picea pungens,NA,NA
Picea sitchensis,NA,NA
Picris hieracioides,native,NA
Picris hieracioides subsp. hieracioides,native,NA
Picris hieracioides subsp. umbellata,native,NA
Pilosella anchusoides,native,A2
Pilosella aurantiaca,native,C3
Pilosella aurantiaca x  P. floribunda,native,NA
Pilosella aurantiaca x  P. officinarum,NA,NA
Pilosella auriculoides,native,C3
Pilosella bauhini,native,NA
Pilosella bauhini x  P. glomerata,NA,NA
Pilosella bauhini x  P. glomerata x  P. officinarum,NA,NA
Pilosella bauhini subsp. bauhini,native,NA
Pilosella bauhini subsp. magyarica,native,NA
Pilosella bifurca,native,C2r
Pilosella blyttiana,native,C1r
Pilosella blyttiana x  P. officinarum,NA,NA
Pilosella brachiata,native,NA
Pilosella caespitosa,native,NA
Pilosella caespitosa agg.,native,NA
Pilosella callimorpha,native,A2
Pilosella callimorphoides,native,A2
Pilosella calodon,native,C2b
Pilosella calomastix,native,A1
Pilosella cochlearis,native,A2
Pilosella corymbulifera,native,A2
Pilosella cymiflora,native,A2
Pilosella cymosa,native,C3
Pilosella cymosa subsp. cymosa,native,C4a
Pilosella cymosa subsp. vaillantii,native,C3
Pilosella densiflora,native,C4a
Pilosella dubia,native,A2
Pilosella echioides,native,C3
Pilosella erythrochrista,native,C3
Pilosella euchaetia,native,C2b
Pilosella fallacina,native,C3
Pilosella flagellariformis,native,A3
Pilosella flagellaris,native,C3
Pilosella floribunda,native,C4a
Pilosella fusca,native,NA
Pilosella fuscoatra,native,C1r
Pilosella glomerata,native,C4a
Pilosella glomerata x  P. officinarum,native,NA
Pilosella heterodoxa,native,A2
Pilosella iserana,native,C3
Pilosella kalksburgensis,native,C1b
Pilosella koernickeana,native,A2
Pilosella lactucella,native,C2t
Pilosella lactucella x  P. onegensis,native,NA
Pilosella leptophyton,native,C4a
Pilosella leucopsilon,native,C2b
Pilosella macranthela,native,C1r
Pilosella macrostolona,native,C2b
Pilosella melinomelas,native,C1b
Pilosella norrliniiformis,native,NA
Pilosella officinarum,native,NA
Pilosella officinarum x  P. scandinavica,native,NA
Pilosella onegensis,native,C2b
Pilosella paragoga,native,A2
Pilosella piloselliflora,native,C3
Pilosella pilosellina,native,C1r
Pilosella piloselloides,native,NA
Pilosella piloselloides agg.,native,NA
Pilosella piloselloides subsp. piloselloides,native,NA
Pilosella piloselloides subsp. praealta,native,NA
Pilosella polymastix,native,C1b
Pilosella prussica,native,A2
Pilosella pseudocalodon,native,A2
Pilosella rothiana,native,C3
Pilosella rubra,native,C1r
Pilosella rubripilosella,native,NA
Pilosella scandinavica,native,C2r
Pilosella schultesii,native,C3
Pilosella setigera,native,C1r
Pilosella stenosoma,native,A2
Pilosella stoloniflora,native,C2r
Pilosella sulphurea,native,A2
Pilosella tephroglauca,native,A2
Pilosella tephrophyton,native,A2
Pilosella tubulascens,native,C1r
Pilosella visianii,native,C3
Pilosella ziziana,native,C4a
Pilularia globulifera,native,C1b
Pimpinella anisum,arch,NA
Pimpinella major,native,NA
Pimpinella peregrina,neo,NA
Pimpinella saxifraga,native,NA
Pimpinella saxifraga subsp. nigra,native,NA
Pimpinella saxifraga subsp. saxifraga,native,NA
Pinguicula crystallina,neo,NA
Pinguicula crystallina subsp. hirtiflora,neo,NA
Pinguicula grandiflora,neo,NA
Pinguicula grandiflora subsp. grandiflora,neo,NA
Pinguicula grandiflora subsp. grandiflora x  P. vulgaris subsp. vulgaris,neo,NA
Pinguicula grandiflora subsp. rosea,NA,NA
Pinguicula vulgaris,native,C2t
Pinguicula vulgaris subsp. bohemica,native,C1t
Pinguicula vulgaris subsp. vulgaris,native,C2t
Pinus x ascendens,native,C4a
Pinus x ascendens nothosubsp. skalickyi,native,C4a
Pinus x celakovskiorum,native,NA
Pinus x neilreichiana,NA,NA
Pinus x rhaetica,native,NA
Pinus x rhaetica nothosubsp. digenea,native,NA
Pinus banksiana,NA,NA
Pinus cembra,NA,NA
Pinus contorta,NA,NA
Pinus flexilis,NA,NA
Pinus jeffreyi,NA,NA
Pinus mugo,native,NA
Pinus mugo agg.,native,NA
Pinus nigra,neo,NA
Pinus nigra subsp. nigra,neo,NA
Pinus peuce,NA,NA
Pinus ponderosa,NA,NA
Pinus ponderosa subsp. ponderosa,NA,NA
Pinus ponderosa subsp. scopulorum,NA,NA
Pinus rigida,NA,NA
Pinus strobus,neo,NA
Pinus sylvestris,native,NA
Pinus uncinata,native,C2b
Pinus uncinata subsp. uliginosa,native,C2b
Pistia stratiotes,neo,NA
Pisum sativum,arch,NA
Plantago x mixta,native,NA
Plantago x moravica,native,NA
Plantago afra,neo,NA
Plantago alpina,neo,NA
Plantago altissima,native,A1
Plantago arenaria,native,C2b
Plantago atrata,native,C1r
Plantago atrata subsp. sudetica,native,C1r
Plantago coronopus,neo,NA
Plantago coronopus subsp. coronopus,neo,NA
Plantago gentianoides,NA,NA
Plantago lanceolata,native,NA
Plantago lanceolata var. lanceolata,native,NA
Plantago lanceolata var. sphaerostachya,native,NA
Plantago major,native,NA
Plantago major agg.,native,NA
Plantago major subsp. major,native,NA
Plantago major subsp. winteri,native,C4b
Plantago maritima,native,C1t
Plantago maritima subsp. ciliata,native,C1t
Plantago media,native,NA
Plantago media subsp. longifolia,native,C4b
Plantago media subsp. media,native,NA
Plantago uliginosa,native,NA
Platanthera x graebneri,native,NA
Platanthera bifolia,native,C3
Platanthera bifolia agg.,native,NA
Platanthera chlorantha,native,C3
Platanus x hispanica,neo,NA
Platanus occidentalis,NA,NA
Platanus orientalis,NA,NA
Platycladus orientalis,neo,NA
Pleioblastus chino,neo,NA
Pleurospermum austriacum,native,C2b
Plumbago auriculata,NA,NA
Plumbago europaea,NA,NA
Poa x figertii,native,NA
Poa x fossae-rusticorum,NA,NA
Poa x intricata,native,NA
Poa x pawlowskii,native,NA
Poa alpina,native,C1r
Poa angustifolia,native,NA
Poa annua,native,NA
Poa annua agg.,native,NA
Poa badensis,native,C2r
Poa bulbosa,native,NA
Poa chaixii,native,NA
Poa compressa,native,NA
Poa crassipes,native,C1r
Poa humilis,native,NA
Poa laxa,native,C2r
Poa nemoralis,native,NA
Poa palustris,native,NA
Poa pratensis,native,NA
Poa pratensis agg.,native,NA
Poa remota,native,C3
Poa riphaea,native,C1r
Poa supina,native,NA
Poa trivialis,native,NA
Podophyllum hexandrum,neo,NA
Polanisia uniglandulosa,neo,NA
Polemonium caeruleum,native,C2r
Polycarpon tetraphyllum,neo,NA
Polycnemum arvense,arch,C1t
Polycnemum heuffelii,arch,A2
Polycnemum majus,arch,C1t
Polygala x pawlowskii,native,NA
Polygala x skrivanekii,native,NA
Polygala amara,native,C1r
Polygala amara agg.,native,NA
Polygala amara subsp. brachyptera,native,C1r
Polygala amarella,native,C2t
Polygala amarella subsp. amarella,native,C2t
Polygala amarella subsp. austriaca,native,C4b
Polygala chamaebuxus,native,C3
Polygala comosa,native,NA
Polygala major,native,C3
Polygala multicaulis,native,C3
Polygala serpyllifolia,native,C2b
Polygala vulgaris,native,NA
Polygala vulgaris agg.,native,NA
Polygonatum latifolium,neo,NA
Polygonatum multiflorum,native,NA
Polygonatum odoratum,native,NA
Polygonatum verticillatum,native,NA
Polygonum arenastrum,native,NA
Polygonum aviculare,native,NA
Polygonum aviculare agg.,native,NA
Polygonum aviculare s. l.,native,NA
Polygonum rurivagum,native,NA
Polypodium x mantoniae,native,NA
Polypodium interjectum,native,C2r
Polypodium vulgare,native,NA
Polypodium vulgare agg.,native,NA
Polypogon fugax,neo,NA
Polypogon monspeliensis,neo,NA
Polypogon viridis,neo,NA
Polystichum x luerssenii,native,NA
Polystichum aculeatum,native,C4a
Polystichum aculeatum agg.,native,NA
Polystichum braunii,native,C2r
Polystichum lonchitis,native,C2b
Polystichum setiferum,native,A1
Pontederia cordata,neo,NA
Populus x berolinensis,NA,NA
Populus x canadensis,neo,NA
Populus x candicans,NA,NA
Populus x canescens,native,NA
Populus x generosa,NA,NA
Populus alba,native,NA
Populus balsamifera,neo,NA
Populus nigra,native,C1t
Populus nigra ‘Italica’,NA,C1t
Populus nigra agg.,native,NA
Populus nigra subsp. nigra,native,C1t
Populus simonii,NA,NA
Populus tremula,native,NA
Populus trichocarpa,NA,NA
Portulaca grandiflora,neo,NA
Portulaca oleracea,arch,NA
Portulaca oleracea subsp. oleracea,arch,NA
Portulaca oleracea subsp. sativa,NA,NA
Potamogeton x angustifolius,native,C1t
Potamogeton x cadburyae,native,NA
Potamogeton x cooperi,native,NA
Potamogeton x fluitans,native,NA
Potamogeton x nitens,native,NA
Potamogeton x olivaceus,native,NA
Potamogeton x prussicus,native,NA
Potamogeton x schreberi,native,NA
Potamogeton x sparganiifolius,native,NA
Potamogeton x undulatus,native,NA
Potamogeton acutifolius,native,C3
Potamogeton acutifolius x  P. trichoides,native,NA
Potamogeton alpinus,native,C2b
Potamogeton berchtoldii,native,NA
Potamogeton coloratus,native,C1t
Potamogeton compressus,native,A1
Potamogeton crispus,native,NA
Potamogeton friesii,native,A2
Potamogeton gramineus,native,C1t
Potamogeton lucens,native,C3
Potamogeton natans,native,NA
Potamogeton nodosus,native,C3
Potamogeton obtusifolius,native,C3
Potamogeton perfoliatus,native,C2t
Potamogeton polygonifolius,native,C2r
Potamogeton praelongus,native,C1t
Potamogeton pusillus,native,NA
Potamogeton pusillus agg.,native,NA
Potamogeton trichoides,native,C3
Potentilla x adulterina,native,NA
Potentilla x aurulenta,native,NA
Potentilla x bayeri,native,NA
Potentilla x boetzkesii,native,NA
Potentilla x budaiana,native,NA
Potentilla x castriferrei,native,NA
Potentilla x ginsiensis,native,NA
Potentilla x hedrichii,native,NA
Potentilla x herbichii,native,NA
Potentilla x hybrida,native,NA
Potentilla x italica,native,NA
Potentilla x matraensis,native,NA
Potentilla x mixta,native,NA
Potentilla x semiargentea,native,NA
Potentilla x subarenaria,native,NA
Potentilla x suberecta,native,NA
Potentilla adscharica,neo,NA
Potentilla alba,native,C3
Potentilla anglica,native,C4a
Potentilla anserina,native,NA
Potentilla anserina subsp. anserina,native,NA
Potentilla argentea,native,NA
Potentilla aurea,native,C3
Potentilla collina,native,C1t
Potentilla crantzii,native,C1r
Potentilla crantzii subsp. serpentini,native,C1r
Potentilla crantzii subsp. serpentini x  P. verna,NA,NA
Potentilla erecta,native,NA
Potentilla heptaphylla,native,NA
Potentilla heptaphylla agg.,native,NA
Potentilla incana,native,C4a
Potentilla inclinata,native,NA
Potentilla intermedia,neo,NA
Potentilla lindackeri,native,C2b
Potentilla micrantha,native,C2r
Potentilla norvegica,native,NA
Potentilla patula,native,C1b
Potentilla pensylvanica,neo,NA
Potentilla psammophila,native,A1
Potentilla puberula,native,C4a
Potentilla radiata,neo,NA
Potentilla recta,native,C4a
Potentilla reptans,native,NA
Potentilla sterilis,native,C1r
Potentilla supina,native,NA
Potentilla supina subsp. paradoxa,neo,NA
Potentilla supina subsp. supina,native,NA
Potentilla thuringiaca,native,C1t
Potentilla verna,native,NA
Potentilla verna agg.,native,NA
Prenanthes purpurea,native,NA
Primula x media,native,NA
Primula x pubescens,NA,NA
Primula auricula,native,C1r
Primula elatior,native,NA
Primula elatior subsp. corcontica,native,C4b
Primula elatior subsp. elatior,native,NA
Primula elatior subsp. tatrensis,native,C4b
Primula farinosa,native,A1
Primula japonica,neo,NA
Primula minima,native,C1r
Primula rosea,neo,NA
Primula veris,native,C4a
Primula veris subsp. canescens,native,C4b
Primula veris subsp. veris,native,C4a
Primula vulgaris,NA,NA
Primula vulgaris subsp. vulgaris,NA,NA
Proboscidea fragrans,neo,NA
Prunella x dissecta,native,NA
Prunella x intermedia,native,NA
Prunella x spuria,native,NA
Prunella grandiflora,native,C3
Prunella laciniata,native,C3
Prunella vulgaris,native,NA
Prunus x eminens,arch,NA
Prunus x fontanesiana,native,NA
Prunus x gondouinii,NA,NA
Prunus x mohacsyana,native,NA
Prunus x umbellifera,native,NA
Prunus armeniaca,arch,NA
Prunus avium,native,NA
Prunus cerasifera,arch,NA
Prunus cerasus,arch,NA
Prunus domestica,arch,NA
Prunus domestica agg.,arch,NA
Prunus dulcis,NA,NA
Prunus fruticosa,native,C2t
Prunus insititia,arch,NA
Prunus japonica,NA,NA
Prunus laurocerasus,neo,NA
Prunus mahaleb,native,C3
Prunus mahaleb subsp. mahaleb,native,C4b
Prunus mahaleb subsp. simonkaii,native,C3
Prunus padus,native,NA
Prunus padus subsp. borealis,native,C1r
Prunus padus subsp. padus,native,NA
Prunus persica,arch,NA
Prunus serotina,neo,NA
Prunus serrulata,NA,NA
Prunus spinosa,native,NA
Prunus spinosa subsp. fruticans,NA,NA
Prunus spinosa subsp. spinosa,native,NA
Prunus subhirtella,NA,NA
Prunus tenella,native,C1r
Prunus tomentosa,neo,NA
Prunus triloba,NA,NA
Prunus virginiana,neo,NA
Psephellus dealbatus,neo,NA
Pseudofumaria alba,neo,NA
Pseudofumaria alba subsp. alba,neo,NA
Pseudofumaria lutea,neo,NA
Pseudognaphalium luteoalbum,native,C1t
Pseudorchis albida,native,C2t
Pseudotsuga menziesii,neo,NA
Pseudotsuga menziesii var. glauca,neo,NA
Pseudotsuga menziesii var. menziesii,neo,NA
Pseudoturritis,native,C3
Ptelea trifoliata,neo,NA
Pteridium aquilinum,native,NA
Pteridium aquilinum subsp. aquilinum,native,NA
Pteris cretica,neo,NA
Pteris multifida,neo,NA
Pterocarya pterocarpa,NA,NA
Puccinellia distans,native,C1t
Puccinellia gigantea,neo,NA
Puccinellia stricta,neo,NA
Pulegium vulgare,native,C1t
Pulicaria dysenterica,native,C1b
Pulicaria vulgaris,native,C1t
Pulmonaria x digenea,native,NA
Pulmonaria x heinrichii,native,NA
Pulmonaria x hybrida,native,NA
Pulmonaria x intermedia,native,NA
Pulmonaria x notha,native,NA
Pulmonaria angustifolia,native,C2b
Pulmonaria mollis,native,C3
Pulmonaria obscura,native,NA
Pulmonaria officinalis,native,NA
Pulmonaria officinalis agg.,native,NA
Pulmonaria officinalis agg. x  P. saccharata,NA,NA
Pulmonaria rubra,neo,NA
Pulsatilla x celakovskyana,native,NA
Pulsatilla x hackelii,native,NA
Pulsatilla x mixta,native,NA
Pulsatilla alpina,native,C2r
Pulsatilla alpina subsp. alba,native,C2r
Pulsatilla grandis,native,C2b
Pulsatilla grandis subsp. grandis,native,C2b
Pulsatilla patens,native,C1t
Pulsatilla pratensis,native,C2b
Pulsatilla pratensis subsp. bohemica,native,C2b
Pulsatilla slavica,neo,NA
Pulsatilla vernalis,native,C1t
Pulsatilla vernalis var. alpestris,native,C1b
Pulsatilla vernalis var. vernalis,native,C1t
Pulsatilla vulgaris,neo,NA
Puschkinia scilloides,neo,NA
Pyracantha coccinea,neo,NA
Pyrola chlorantha,native,C1t
Pyrola media,native,C2t
Pyrola minor,native,C3
Pyrola rotundifolia,native,C2t
Pyrola rotundifolia subsp. rotundifolia,native,C2t
Pyrus x amphigenea,NA,NA
Pyrus communis,arch,NA
Pyrus communis agg.,native,NA
Pyrus nivalis,NA,C4b
Pyrus pyraster,native,C4a
Quercus x barnovae,native,NA
Quercus x benkoei,native,NA
Quercus x budensis,native,NA
Quercus x calvescens,native,NA
Quercus x cazanensis,native,NA
Quercus x pseudodalechampii,native,NA
Quercus x pseudopubescens,native,NA
Quercus x rosacea,native,NA
Quercus x sooi,native,NA
Quercus x streimii,native,NA
Quercus banatus,native,C4b
Quercus cerris,native,C2r
Quercus frainetto,neo,NA
Quercus macranthera,NA,NA
Quercus palustris,NA,NA
Quercus petraea,native,NA
Quercus petraea agg.,native,NA
Quercus polycarpa,native,C4b
Quercus pubescens,native,C3
Quercus pubescens agg.,native,NA
Quercus robur,native,NA
Quercus rubra,neo,NA
Quercus virgiliana,native,C4b
Radiola linoides,native,C1t
Ranunculus x polyanthemoides,native,NA
Ranunculus aconitifolius,native,C3
Ranunculus acris,native,NA
Ranunculus acris subsp. acris,native,NA
Ranunculus acris subsp. friesianus,neo,NA
Ranunculus aquatilis,native,C4b
Ranunculus aquatilis x  R. peltatus,NA,NA
Ranunculus aquatilis x  R. trichophyllus,NA,NA
Ranunculus arvensis,arch,C2t
Ranunculus auricomus agg.,native,NA
Ranunculus auricomus group s. l.,native,NA
Ranunculus baudotii,native,C1b
Ranunculus bulbosus,native,NA
Ranunculus cassubicus group s. l.,native,NA
Ranunculus circinatus,native,C3
Ranunculus circinatus x  R. rionii,NA,NA
Ranunculus fallax,native,C4b
Ranunculus fallax group s. l.,native,C4b
Ranunculus flammula,native,NA
Ranunculus fluitans,native,C4a
Ranunculus hevellus,native,NA
Ranunculus illyricus,native,C2b
Ranunculus lanuginosus,native,NA
